id,username,created_at,lng,lat,text,,,,,,,,,,,,,,,,,,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:43:08 +0000 2022,-115.223125,36.232915,@RepSylviaGarcia,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BA…,https://t.co/t1lwcpweaI,,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:43:17 +0000 2022,-115.223125,36.232915,@RepDotieJoseph,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BAC…,https://t.co/dZJ0iIaEkY,,,,,,,,,
1.52E+18,DJMICHAELKNIGHT,Fri Apr 22 05:43:24 +0000 2022,-122.455344,47.2429605,Joe,,,,losing,it,and,me.,,,,,,,,,,,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:43:26 +0000 2022,-115.223125,36.232915,@AnnaForFlorida,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BAC…,https://t.co/C9l8z2RRmh,,,,,,,,,
1.52E+18,ateamservice,Fri Apr 22 05:43:31 +0000 2022,-61.211783,10.700476,Talk,,,,the,Grammy's,or,Oscar's,but,hey,,only,Ukraine,going,through,this,Afghanistan,has,been,in,war…,https://t.co/c7lKDBj8kG,,,,
1.52E+18,epmccom,Fri Apr 22 05:43:47 +0000 2022,-115.223125,36.232915,@RepTedLieu,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN…,https://t.co/0SqdDHRDlv,,,,,,,,
1.52E+18,vegasdude83,Fri Apr 22 05:43:53 +0000 2022,-115.223125,36.232915,Are,,,,much,money,on,aid,for,Ukraine,,feels,like,mthe,US,&amp;,Russia,are,fighting,a,war,through,them?,,,
1.52E+18,Padrinxx,Fri Apr 22 05:43:59 +0000 2022,36.86362,-1.2748635,At,,,,should,just,give,up,it’s,not,,late.,US,umekuchocha,ugeizie,bro,wako,mbigi.,NATO,wako,wapi?…,https://t.co/85qBdgeyDk,,,,
1.52E+18,epmccom,Fri Apr 22 05:44:02 +0000 2022,-115.223125,36.232915,@OlgaNYC1211,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,I…,https://t.co/HTo9ll9LQW,,,,,,,,
1.52E+18,melora72,Fri Apr 22 05:44:27 +0000 2022,-117.000734,46.7347065,@themankhosi,,,,mean,Tucker,Carlson,and,Fox,News?,,Trump?,They,spew,Russian,prop…,https://t.co/Aush8FpxP7,,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:44:29 +0000 2022,-115.223125,36.232915,@JeffJacksonNC,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK…,https://t.co/AMrCLriowS,,,,,,,,,
1.52E+18,ConnyLipp,Fri Apr 22 05:44:39 +0000 2022,7.181479,53.582004,#Scholz:6Wenn,,,,liest:,versteht,man,(hier:ich!),undseren,Kanzler,,erst,recht,nicht,mit,seinem,Zög…,https://t.co/M1VZhXIclL,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:44:40 +0000 2022,-115.223125,36.232915,@DanRather,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN…,https://t.co/B2UU3GDbF9,,,,,,,,
1.52E+18,AlFitZ0,Fri Apr 22 05:44:42 +0000 2022,6.784844,6.1371965,@DahkDutch,,,,"contrary,","Feminazis,",trans,"people,","PETA,",people,,think,wars,in,Africa,&amp;,middle,east…,https://t.co/YMjICSlRfY,,,,,,,
1.52E+18,CalDisasters,Fri Apr 22 05:44:47 +0000 2022,-119.3066075,37.2691755,#Donetsk,,,,#Russia,,,,,,,,,,,,,,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:44:59 +0000 2022,-115.223125,36.232915,@CoryBooker,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN…,https://t.co/fvfLd0xmoY,,,,,,,,
1.52E+18,SJpapabear,Fri Apr 22 05:45:10 +0000 2022,7.1165865,50.7034715,Bonn,,,,#StopWarInUkraine,https://t.co/OXkTJKwnbE,,,,,,,,,,,,,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:45:22 +0000 2022,-115.223125,36.232915,@SecBlinken,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN…,https://t.co/47O5rttWip,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:45:34 +0000 2022,-115.223125,36.232915,@SecGranholm,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,I…,https://t.co/IXXOtR2oWD,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:45:47 +0000 2022,-115.223125,36.232915,@SecRaimondo,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,I…,https://t.co/za2wejLWh0,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:46:02 +0000 2022,-115.223125,36.232915,@SecMartyWalsh,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK…,https://t.co/PNYwDrxJYm,,,,,,,,,
1.52E+18,Educatorlouisfx,Fri Apr 22 05:46:10 +0000 2022,-100.0768885,31.1688935,@pixnobody,,,,we,all,are,hoping,on,right,,they,really,care,about,the,massive,unemployment,and,reti…,https://t.co/8urERQjw5k,,,,,
1.52E+18,epmccom,Fri Apr 22 05:46:16 +0000 2022,-115.223125,36.232915,@SecDef,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN,A,C…,https://t.co/HduyMHj3Zn,,,,,,
1.52E+18,DavidAlanBlowe4,Fri Apr 22 05:46:21 +0000 2022,-77.418002,39.4320365,Or,,,,Joe,(,aka,mr,Magoo),0.81,,votes….sure,And,Epstein,hung,him,self,,,,,,,,,
1.52E+18,pabsara,Fri Apr 22 05:46:23 +0000 2022,-113.4926175,53.5558195,https://t.co/OSxTx20Lax,,,,,,,,,,,,,,,,,,,,,,,,,
1.52E+18,VOAYYH,Fri Apr 22 05:46:27 +0000 2022,-77.036562,38.897804,為美國之音,,,,@news_cts,報導,#拜登,白宮見烏克蘭總理，擴大對烏軍事經濟援助，駁斥,#普京,解放,,說法。Reported,for,affiliate,#CTS,Bide…,https://t.co/JYEriuAWvR,,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:46:30 +0000 2022,-115.223125,36.232915,@SecBecerra,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN…,https://t.co/VHF6nTxXzu,,,,,,,,
1.52E+18,LiziKernNews,Fri Apr 22 05:46:38 +0000 2022,-119.7824645,36.786042,California-based,,,,the,drone,-,120,are,being,,to,"Ukraine.More:""Mystery",drone:,How,th…,https://t.co/B5w4YJDbwA,,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:46:49 +0000 2022,-115.223125,36.232915,@TIME,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN,A,COR…,https://t.co/Bs1wOK4bKz,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:47:02 +0000 2022,-115.223125,36.232915,@guardian,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN,A…,https://t.co/26bOAr08dK,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:47:16 +0000 2022,-115.223125,36.232915,@johncusack,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN…,https://t.co/kU8b6hGeRs,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:47:26 +0000 2022,-115.223125,36.232915,@AP,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN,A,CORNE…,https://t.co/adX1uCXv2N,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:47:36 +0000 2022,-115.223125,36.232915,@nytimes,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN,A…,https://t.co/xxnUBnyM6j,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:47:46 +0000 2022,-115.223125,36.232915,@NBCNews,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN,A…,https://t.co/8U8AhS9kly,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:48:00 +0000 2022,-115.223125,36.232915,@McFaul,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN,A,C…,https://t.co/m6IKbZu2TP,,,,,,
1.52E+18,Clint_Crabtree1,Fri Apr 22 05:48:21 +0000 2022,-92.4367735,38.3045585,#Putin,,,,#JoshHawleyRussianAsset,,,,,,,,,,,,,,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:48:24 +0000 2022,-115.223125,36.232915,@ukraine_world,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK…,https://t.co/H05kVQKfOl,,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:48:36 +0000 2022,-115.223125,36.232915,@SenTedCruz,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN…,https://t.co/sFJl4cohKv,,,,,,,,
1.52E+18,merapi22,Fri Apr 22 05:48:41 +0000 2022,9.335554,48.740966,@NZZde,,,,"LKW,",14,"Panzer,",13,Flugzeuge,schenkte,,USA,von,1942-45,Russland,um…,https://t.co/6SLJRLqe1b,,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:48:45 +0000 2022,-115.223125,36.232915,@GeorgeTakei,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,I…,https://t.co/wAQKv0hObI,,,,,,,,
1.52E+18,maazel_de,Fri Apr 22 05:48:51 +0000 2022,7.4703055,51.5077235,Guten,,,,,,,,,,,,,,,,,,,,,,,,,
1.52E+18,lindamary,Fri Apr 22 05:48:52 +0000 2022,6.357839,46.2645095,Save,,,,on,Russian,"energy,",support,Ukraine,and,,the,planet,https://t.co/8RUUv3DXke,,,,,,,,,,,,
1.52E+18,epmccom,Fri Apr 22 05:49:15 +0000 2022,-115.223125,36.232915,@DefenceU,,,,VLADIMIR,PUTIN,IS,INSANE,WILL,USE,,WEAPONS,IF,HE,IS,BACK,IN,A…,https://t.co/4YKHCCdEoL,,,,,,,
